;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Number of member accounts by member gender;;;;Members' benefits by member gender;;;;Number of member accounts by member age bracket (female);;;;;;;;;;;;Members' benefits by member age bracket (female);;;;;;;;;;;;Number of member accounts by member age bracket (male);;;;;;;;;;;;Members' benefits by member age bracket (male);;;;;;;;;;;
Fund name;RSE Regulatory classification;Fund type;RSE Membership base;Fund's RSE licensee;RSE licensee ownership type;RSE licensee profit status;Total number of member accounts at the end of period;Total members' benefits at end of period;Number of members accounts : female;Number of members accounts : male;Number of members : Intersex or Indeterminate;Number of members : Not stated or inadequately described;Members' benefits : female;Members' benefits : male;Members' benefits : Intersex or Indeterminate;Members' benefits : Not stated or inadequately described;<25;25 to 34;35 to 44;45 to 49;50 to 54;55 to 59;60 to 64;65 to 69;70 to 74;75 to 84;85+;Age not available;<25;25 to 34;35 to 44;45 to 49;50 to 54;55 to 59;60 to 64;65 to 69;70 to 74;75 to 84;85+;Age not available;<25;25 to 34;35 to 44;45 to 49;50 to 54;55 to 59;60 to 64;65 to 69;70 to 74;75 to 84;85+;Age not available;<25;25 to 34;35 to 44;45 to 49;50 to 54;55 to 59;60 to 64;65 to 69;70 to 74;75 to 84;85+;Age not available
;;;;;;;;($'000);;;;;($'000);($'000);($'000);($'000);;;;;;;;;;;;;($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);;;;;;;;;;;;;($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000)
Club Super;Non public offer;Industry;Industry base;Club Plus QLD Pty Ltd;Other ownership type;Not for profit status;20918;587484;11749;9169;;;303015;284469;;;2168;2648;2531;1250;1016;1015;658;334;104;*;*;*;8047;33827;54150;40493;41921;52287;39072;25586;6402;*;*;*;1914;2251;1934;871;648;644;437;276;154;*;*;*;6898;33366;59223;40934;38163;43868;29681;20873;9594;*;*;*
Colonial First State FirstChoice Superannuation Trust;Public offer;Retail;General base;Colonial First State Investments Limited;Financial services corporation ownership;For profit status;720423;80012944;*;*;;*;*;46567126;;*;15529;49125;56139;28406;25317;25824;30113;30349;25463;21099;*;;80565;1145909;2930009;2191454;2430425;3461306;5673896;6670742;5113046;3502162;*;;21992;67512;81299;40408;35845;36315;39269;34216;27263;24168;*;;107300;1735487;5296479;3995934;4365599;5849054;7534367;7294721;5783792;4230463;*;
Colonial First State Rollover & Superannuation Fund;Public offer;Retail;General base;Colonial First State Investments Limited;Financial services corporation ownership;For profit status;29642;2742228;*;*;;*;*;1627833;;*;*;*;1414;2512;2804;2265;1303;751;696;1835;402;;*;*;87649;188870;244327;210059;122482;66808;55177;115586;18501;;*;*;1576;2140;2595;2806;1914;1062;803;1898;648;;*;*;128806;229232;309962;356809;243237;120377;75992;125328;31291;
Colonial Super Retirement Fund;Public offer;Retail;General base;Colonial Mutual Superannuation Pty. Ltd.;Financial services corporation ownership;For profit status;81496;3348269;29399;52097;;;1144072;2204197;;;;138;4162;4913;5905;5432;3780;1435;761;1927;946;;;3264;77047;154070;219561;217140;147027;88180;53259;134885;49639;;*;*;5403;7536;10266;11578;8783;2848;1411;2152;1881;;*;*;128354;215502;366215;487516;417689;199359;109576;167400;108745;
CommInsure Corporate Insurance Superannuation Trust;Public offer;Retail;Corporate base;Diversa Trustees Limited;Financial services corporation ownership;For profit status;7036;0;2385;4651;;;0;0;;;123;949;818;227;131;92;*;*;0;;;;0;0;0;0;0;0;*;*;0;;;;109;1235;1683;623;482;327;*;*;*;;;;0;0;0;0;0;0;*;*;*;;;
Commonwealth Bank Approved Deposit Fund;Public offer;Retail;General base;Colonial Mutual Superannuation Pty. Ltd.;Financial services corporation ownership;For profit status;1406;9787;695;711;;;4955;4832;;;;;;49;227;257;162;;;;;;;;;89;816;1656;2394;;;;;;;;;45;196;231;239;;;;;;;;;96;630;1659;2447;;;;;
Commonwealth Bank Group Super;Non public offer;Corporate;Corporate base;Commonwealth Bank Officers Superannuation Corporation Pty Limited;Employer sponsor (non-public sector) ownership;Not for profit status;73385;11772815;42838;30547;;;5377941;6394874;;;1842;9980;12823;5746;4314;3172;2164;1095;409;477;816;;19542;416595;1097480;885855;907985;813304;566939;305080;123337;125848;115976;;1475;7120;8969;3805;2785;2200;1575;917;612;503;586;;14514;345022;1018672;790566;866436;1073797;852301;556072;395360;317347;164787;
Commonwealth Essential Super;Public offer;Retail;General base;Colonial First State Investments Limited;Financial services corporation ownership;For profit status;272352;3777756;119793;152559;;;1329640;2448116;;;23730;61482;19271;5693;3964;2819;1715;710;300;*;*;;88474;517956;334415;129209;96823;81296;48238;21856;8718;*;*;;26674;76308;27757;7725;5314;4017;2618;1383;533;*;*;;112240;873881;729218;248872;184364;146109;91993;41535;15277;*;*;
Construction & Building Unions Superannuation;Public offer;Industry;Industry base;United Super Pty Ltd;Nominating organisation ownership;Not for profit status;766494;50991210;68309;697777;;408;4068312;46917266;;5632;8606;15712;14498;8113;7180;6156;4207;2511;1062;*;*;;35987;353560;703782;542437;573757;623916;562486;429463;186807;*;*;;108909;192180;148982;70576;60323;52659;36124;18340;7402;*;*;*;738072;6381948;10613118;6712297;6615293;6809886;4929143;2626980;1128909;*;*;*
Crescent Wealth Superannuation Fund;Public offer;Retail;General base;Equity Trustees Superannuation Limited;Financial services corporation ownership;For profit status;8860;246995;*;*;;*;*;188730;;*;492;1294;866;198;134;57;26;*;*;*;*;;1288;17671;22567;6313;6218;2782;962;*;*;*;*;;559;2099;2266;397;236;124;57;*;*;*;;;1596;41334;92232;24033;17033;8413;2606;*;*;*;;
